id,track_name,artist
6cd29451-b9fc-43b8-bc40-9b4c7812b8c0,Straight Up,Paula Abdul
6e0eb323-251d-492c-8dd1-10c3b808266c,Pure Shores,All Saints
e61ec431-92fa-4119-8ccc-86f228e5d9c4,Venus,Bananarama
9705d5d9-d6c1-4cbe-bd3e-0c2601b3751a,Never Be the Same Again,Melanie C
1f0580b7-3bd5-4207-b3b6-c4c269dedcd2,Release Me,Agnes
b1abca18-f709-42d3-bfc7-b8fe07c583d3,All Night,Icona Pop
873ee083-8268-4cf4-8f04-cd2270c05d4f,Evacuate the Dancefloor,Cascada
f62b6ad9-c0b1-42e5-bc8b-83be67d66789,Look at Me,Geri Halliwell
434df0b1-3461-4f36-b2b7-c78bb3b02af3,Acapella,Kelis
91b5754c-2e9c-4b71-8a8d-3b1f51774b7e,Rumors,Lindsay Lohan
6a7e4552-ed19-4513-9586-e949c486ec9f,Unwritten,Natasha Bedingfield
15e40966-6cbb-473c-97fc-362de81f95d9,Cry For You,September
59cd7586-f768-4ae1-9bed-c17bce2dea9d,Slave to the Rhythm,Michael Jackson
032658ec-a0cb-479b-af00-33bdf275b8e6,It's All Coming Back to Me Now,Céline Dion
6c4dc807-4073-4b0a-88e1-1cf6cb993413,On the Metro,Girls Aloud
0398acc1-ffdd-40c5-9443-dacae38fc15f,Physical,Olivia Newton-John
01b13dbc-416e-4c71-84e2-cfe2875c296a,Here with Me,Dido
7e9749da-3c2f-42b3-a285-e66841924a79,Grown Woman,Beyoncé
0151985b-fae7-4397-8cfe-369f4158f74d,Holding Out for a Hero,Bonnie Tyler
367403ec-8ef5-48cc-8bf2-c04e01e90340,With Love,Hilary Duff
54f8b119-83da-4056-a9a8-844bc1de8eca,No More "I Love You's",Annie Lennox
374a7a48-3eef-4897-884e-c1d690662b6a,Promise This,Cheryl Cole
0f7393dd-b355-49ce-b03a-32420686af69,Lose My Breath,Destiny's Child
1431f265-d773-415e-bd2f-9a38b27de5f6,Glad You Came,The Wanted
